Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.02,0.02,1.25,0,0,0,10.8,5.6264,-2.7223E-19,-8.0546E-19,5.6264,2.8717E-17,0.00288,0,0,0,0,0,0,package://hopper/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hopper/meshes/base_link.STL,,BASE_POLE-1,Origin,Axis_anklejoint,anklejoint,continuous,0,-0.16155,-0.42,0,0,0,tibia,1,0,0,0,0,-1.2,1,,,0.1,,,,,
pelvis,0.029401,0.02,0.9724,0,0,0,9.8923,0.052666,-3.9769E-19,0.0034676,0.071815,8.3574E-19,0.11746,0,0,0,0,0,0,package://hopper/meshes/pelvis.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hopper/meshes/pelvis.STL,,PELVIS-1,Origin,Slider,linear,prismatic,0,0,0,0,0,0,base_link,0,0,-1,0,0,-1,3,,,,,,,,
femur,-4.6619E-18,0.083073,-0.21597,0,0,0,2.7901,0.043371,-5.7127E-20,6.3406E-19,0.03793,0.014142,0.0066034,0,0,0,0,0,0,package://hopper/meshes/femur.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hopper/meshes/femur.STL,,FEMUR-1,HipOrigin,HipJoint,hipjoint,revolute,0.12,0.02,0.92,0,0,0,pelvis,-1,0,0,0,0,-1.7,1.5,,,,,,,,
tibia,6.5556E-18,-0.07648,-0.20568,0,0,0,2.9886,0.049785,-3.4314E-19,-1.4937E-18,0.042507,-0.017043,0.0084955,0,0,0,0,0,0,package://hopper/meshes/tibia.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hopper/meshes/tibia.STL,,TIBIA-1,KneeOrigin,KneeJoint,kneejoint,revolute,0,0.16155,-0.42,0,0,0,femur,-1,0,0,0,0,-2.3,0.8,,,,,,,,
foot,2.3627E-18,0.05847,-0.054713,0,0,0,2.9039,0.017181,1.8147E-19,-1.0244E-19,0.0027601,0.00064537,0.017764,0,0,0,0,0,0,package://hopper/meshes/foot.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hopper/meshes/foot.STL,,FOOT-1,AnkleOrigin,AnkleJoint,anklejoint,revolute,0,-0.16155,-0.42,0,0,0,tibia,-1,0,0,0,0,-1.2,1,,,,,,,,
soleus_b,1.961E-16,-6.5919E-16,4.4409E-16,0,0,0,0.0021206,2.6507E-08,1.4255E-24,-3.2615E-25,3.0925E-08,-4.1421E-38,3.0925E-08,0,0,0,0,0,0,package://hopper/meshes/soleus_b.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hopper/meshes/soleus_b.STL,,SOLEUS_B-1,SOLEUS_B,,soleus_b,fixed,0,-0.058121,-0.015293,0,0,0,foot,0,0,0,,,,,,,,,,,,
tibialis_anterior_b,1.7108E-16,-5.5511E-17,4.1633E-17,0,0,0,0.0021206,2.6507E-08,4.7857E-25,-6.4477E-25,3.0925E-08,7.1538E-25,3.0925E-08,0,0,0,0,0,0,package://hopper/meshes/tibialis_anterior_b.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hopper/meshes/tibialis_anterior_b.STL,,TIBIALIS_ANTERIOR_B-1,TIBIALIS_ANTERIOR_B,,tibialis_anterior_b,fixed,0,0.093653,-0.0016872,0,0,0,foot,0,0,0,,,,,,,,,,,,
gastrocnemius_b,1.9949E-16,-8.4655E-16,5.0654E-16,0,0,0,0.0021206,2.6507E-08,1.4255E-24,-3.2615E-25,3.0925E-08,-7.3366E-38,3.0925E-08,0,0,0,0,0,0,package://hopper/meshes/gastrocnemius_b.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hopper/meshes/gastrocnemius_b.STL,,GASTROCNEMIUS_B-1,GASTROCNEMIUS_B,,gastrocnemius_b,fixed,0,-0.069271,-0.027795,0,0,0,foot,0,0,0,,,,,,,,,,,,
rectus_femoris_b,1.62537407208549E-16,3.91353616180368E-15,2.55351295663786E-15,0,0,0,0.00212057504117315,2.65071880146648E-08,-6.80049180064351E-25,-1.7690153370699E-24,3.09250526837753E-08,-1.13607020486732E-38,3.09250526837753E-08,0,0,0,0,0,0,package://hopper/meshes/rectus_femoris_b.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper/meshes/rectus_femoris_b.STL,,RECTUS_FEMORIS_B-1,RECTUS_FEMORIS_B,,rectus_femoris_b,fixed,0,0.053374,0.014179,0,0,0,tibia,0,0,0,,,,,,,,,,,,
biceps_femoris_long_b,1.5625676272123E-16,2.92821322744885E-15,3.10862446895044E-15,0,0,0,0.0021205750411731,2.65071880146637E-08,8.08875922531096E-25,-1.76901533706981E-24,3.09250526837744E-08,-4.90866812554011E-39,3.09250526837744E-08,0,0,0,0,0,0,package://hopper/meshes/biceps_femoris_long_b.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper/meshes/biceps_femoris_long_b.STL,,BICEPS_FEMORIS_LONG_B-1,BICEPS_FEMORIS_LONG_B,,biceps_femoris_long_b,fixed,0,-0.060537,-0.048208,0,0,0,tibia,0,0,0,,,,,,,,,,,,
